SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
WEST UTTAR PRADESH,2005,10.1,17.9,22.6,1.2,6.9,67.1,298.2,96,202.5,2.5,0,0.6,725.7
WEST RAJASTHAN,2005,1.4,14.2,8.7,6.3,14.5,29.2,86.1,24.3,75.8,0,0.1,0,260.8
WEST MADHYA PRADESH,2005,13.7,3.1,12.3,6.1,1.9,81.2,345.7,130.5,155.1,1.3,0,1.4,752.2
VIDARBHA,2005,74.9,7,7.2,1.9,2.6,144.4,393.2,249.2,246.8,87.2,0,0.2,1214.6
UTTARAKHAND,2005,64.1,83.2,54.2,12.8,52.1,74,400.1,249.2,337.9,14.1,2.2,4.3,1348.2
TELANGANA,2005,43.4,14.1,14.6,23.8,19.7,115.1,400.3,126.9,246.3,136.1,3.9,18.8,1163.1
TAMIL NADU,2005,4.1,11.1,24.4,128,80.6,35.7,87.9,93.3,117.9,280.5,353.4,148.5,1365.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,2005,19.5,21,132.1,155.5,254,446.5,704.3,564.5,229.9,271.1,8.8,0.5,2807.7
SOUTH INTERIOR KARNATAKA,2005,7.2,3.9,3.2,76,74.7,138.7,333.5,233.2,145.5,241.8,56.3,5.3,1319.3
SAURASHTRA & KUTCH,2005,0,0,0,0.2,0.2,201.2,126.7,68.4,233.1,1.7,0,0,631.6
RAYALSEEMA,2005,1.3,13.6,14.7,38.5,48.4,51.2,133.2,106.6,127.6,304.8,144.8,81.7,1066.4
PUNJAB,2005,35.8,60.3,28.6,8.4,5.2,34.6,176.7,95.3,106.7,0.4,0,0,552
ORISSA,2005,29.4,4,24.3,20.9,44.9,199.4,410.3,201,342.8,206.9,12.4,7.1,1503.4
NORTH INTERIOR KARNATAKA,2005,5.8,0.8,5.5,52.5,34.5,98.7,219.4,123.3,159.7,102.3,5,0.1,807.5
NAGA MANI MIZO TRIPURA,2005,6.4,15,118.6,98.1,237,212.3,301.5,334.8,292.6,194.3,15.6,10.5,1836.7
MATATHWADA,2005,13.2,0.7,11.6,1.6,2.1,59.7,413.5,124.1,213.5,100.5,0,0,940.5
MADHYA MAHARASHTRA,2005,3.6,0.4,1.6,11.1,7.8,240.5,361.2,256.1,276.4,62.7,0,0,1221.3
